group,host,reachable,health,methods,bash_bridge,rmap_initiate,rmap_get_link,error
03,softsec-group-03.dsv.local.su.se,True,200,"toy-eof,bash-bridge-eof",True,"{'status': 200, 'allow': 'HEAD, OPTIONS, GET'}","{'status': 200, 'allow': 'HEAD, OPTIONS, GET'}",
04,softsec-group-04.dsv.local.su.se,False,,,False,,,"HTTPConnectionPool(host='softsec-group-04.dsv.local.su.se', port=5000): Max retries exceeded with url: /healthz (Caused by ConnectTimeoutError(<HTTPConnection(host='softsec-group-04.dsv.local.su.se', port=5000) at 0x7ff491b57c50>, 'Connection to softsec-group-04.dsv.local.su.se timed out. (connect timeout=5)'))"
05,softsec-group-05.dsv.local.su.se,True,200,"toy-eof,bash-bridge-eof,HMAC-Signed",True,"{'status': 200, 'allow': 'HEAD, GET, OPTIONS'}","{'status': 200, 'allow': 'HEAD, GET, OPTIONS'}",
06,softsec-group-06.dsv.local.su.se,False,,,False,,,"HTTPConnectionPool(host='softsec-group-06.dsv.local.su.se', port=5000): Max retries exceeded with url: /healthz (Caused by ConnectTimeoutError(<HTTPConnection(host='softsec-group-06.dsv.local.su.se', port=5000) at 0x7ff491bd7100>, 'Connection to softsec-group-06.dsv.local.su.se timed out. (connect timeout=5)'))"
07,softsec-group-07.dsv.local.su.se,True,503,"toy-eof,bash-bridge-eof",True,"{'status': 200, 'allow': 'GET, OPTIONS, HEAD'}","{'status': 200, 'allow': 'GET, OPTIONS, HEAD'}",
08,softsec-group-08.dsv.local.su.se,False,,,False,,,"HTTPConnectionPool(host='softsec-group-08.dsv.local.su.se', port=5000): Max retries exceeded with url: /healthz (Caused by ConnectTimeoutError(<HTTPConnection(host='softsec-group-08.dsv.local.su.se', port=5000) at 0x7ff4919bcef0>, 'Connection to softsec-group-08.dsv.local.su.se timed out. (connect timeout=5)'))"
09,softsec-group-09.dsv.local.su.se,True,200,toy-eof,False,"{'status': 200, 'allow': 'HEAD, GET, OPTIONS'}","{'status': 200, 'allow': 'HEAD, GET, OPTIONS'}",
10,softsec-group-10.dsv.local.su.se,False,,,False,,,"HTTPConnectionPool(host='softsec-group-10.dsv.local.su.se', port=5000): Max retries exceeded with url: /healthz (Caused by ConnectTimeoutError(<HTTPConnection(host='softsec-group-10.dsv.local.su.se', port=5000) at 0x7ff491955f20>, 'Connection to softsec-group-10.dsv.local.su.se timed out. (connect timeout=5)'))"
11,softsec-group-11.dsv.local.su.se,True,200,"toy-eof,bash-bridge-eof",True,"{'status': 200, 'allow': 'GET, OPTIONS, HEAD'}","{'status': 200, 'allow': 'GET, OPTIONS, HEAD'}",
12,softsec-group-12.dsv.local.su.se,False,,,False,,,"HTTPConnectionPool(host='softsec-group-12.dsv.local.su.se', port=5000): Max retries exceeded with url: /healthz (Caused by ConnectTimeoutError(<HTTPConnection(host='softsec-group-12.dsv.local.su.se', port=5000) at 0x7ff491956250>, 'Connection to softsec-group-12.dsv.local.su.se timed out. (connect timeout=5)'))"
13,softsec-group-13.dsv.local.su.se,True,200,"toy-eof,bash-bridge-eof",True,"{'status': 200, 'allow': 'OPTIONS, GET, HEAD'}","{'status': 200, 'allow': 'OPTIONS, GET, HEAD'}",
14,softsec-group-14.dsv.local.su.se,False,,,False,,,"HTTPConnectionPool(host='softsec-group-14.dsv.local.su.se', port=5000): Max retries exceeded with url: /healthz (Caused by ConnectTimeoutError(<HTTPConnection(host='softsec-group-14.dsv.local.su.se', port=5000) at 0x7ff491956580>, 'Connection to softsec-group-14.dsv.local.su.se timed out. (connect timeout=5)'))"
15,softsec-group-15.dsv.local.su.se,True,200,"toy-eof,bash-bridge-eof",True,"{'status': 200, 'allow': 'OPTIONS, GET, HEAD'}","{'status': 200, 'allow': 'OPTIONS, GET, HEAD'}",
16,softsec-group-16.dsv.local.su.se,False,,,False,,,"HTTPConnectionPool(host='softsec-group-16.dsv.local.su.se', port=5000): Max retries exceeded with url: /healthz (Caused by ConnectTimeoutError(<HTTPConnection(host='softsec-group-16.dsv.local.su.se', port=5000) at 0x7ff4919567a0>, 'Connection to softsec-group-16.dsv.local.su.se timed out. (connect timeout=5)'))"
